name,module_id
APP_GHA-BATCH-DIST_CORP,1
APP_GHA-CALCULATOR-DIST_CORP,1
APP_GHA-EXTRACTION-DIST_CORP,1
APP_GHA-REPORTING-DIST_CORP,1
APP_GHA-SQL-DIST_CORP,1
APP_GHA-WEBSERVICES-DIST_CORP,1
APP_GHA-WEBAPP-DIST_CORP,1
APP_GHA-MODULE-SECU-PROXY-DIST,2
APP_GHA-TALEND-DIST_CORP,5
APP_GHA-TALEND-DWH-DIST_CORP,6
APP_GHA-INVOICE-BATCH-DIST,3
APP_GHA-INVOICE-REPORTINGWEBAPP-DIST,3
APP_GHA-INVOICE-WEBAPP-DIST,3
APP_GHA-TRANSCO-DIST,4
APP_GHA-TRANSCOWELDOM-DIST_CORP,4
APP_GHA-TRANSCO-SQL-DIST,4
APP_GHA-DECLARATIF-BATCH-DIST,7
APP_GHA-DECLARATIF-DIST,7
