server_id,artifact_id,port,profile
1,2,12080,NULL
1,6,10080,NULL
1,7,11080,NULL
1,8,15080,NULL
2,11,10080,NULL
2,13,10080,NULL
3,2,12080,NULL
3,6,10080,NULL
3,7,11080,NULL
3,8,15080,NULL
4,1,NULL,NULL
4,2,12080,NULL
4,5,NULL,NULL
4,6,10080,NULL
4,7,11080,NULL
4,9,NULL,NULL
4,10,NULL,NULL
6,17,NULL,NULL
6,18,13080,ADEO
6,18,14080,SUPPLIER
7,3,10080,NULL
8,4,10080,NULL
8,12,11080,NULL
10,14,NULL,NULL
10,15,NULL,NULL
10,16,12080,NULL
14,2,12080,NULL
14,6,10080,NULL
14,7,11080,NULL
14,8,15080,NULL
15,11,10080,NULL
15,13,10080,NULL
16,2,12080,NULL
16,6,10080,NULL
16,7,11080,NULL
16,8,15080,NULL
17,1,NULL,NULL
17,2,12080,NULL
17,5,NULL,NULL
17,6,10080,NULL
17,7,11080,NULL
17,9,NULL,NULL
17,10,NULL,NULL
19,17,NULL,NULL
19,18,13080,ADEO
19,18,14080,SUPPLIER
20,3,10080,NULL
21,4,10080,NULL
21,12,11080,NULL
23,14,NULL,NULL
23,15,NULL,NULL
23,16,12080,NULL
27,2,12080,NULL
27,6,10080,NULL
27,7,11080,NULL
27,8,15080,NULL
28,1,NULL,NULL
28,2,12080,NULL
28,5,NULL,NULL
28,6,10080,NULL
28,7,11080,NULL
28,9,NULL,NULL
28,10,NULL,NULL
29,11,10080,NULL
29,13,10080,NULL
31,4,10080,NULL
31,12,11080,NULL
32,3,10080,NULL
56,2,12080,NULL
56,6,10080,NULL
56,7,11080,NULL
56,8,15080,NULL
57,1,NULL,NULL
57,2,12080,NULL
57,5,NULL,NULL
57,6,10080,NULL
57,7,11080,NULL
57,9,NULL,NULL
57,10,NULL,NULL
58,11,10080,NULL
58,13,10080,NULL
60,4,10080,NULL
60,12,11080,NULL
61,3,10080,NULL
63,17,NULL,NULL
63,18,13080,ADEO
63,18,14080,SUPPLIER
64,14,NULL,NULL
64,15,NULL,NULL
64,16,12080,NULL
34,2,12080,NULL
34,6,10080,NULL
34,7,11080,NULL
34,8,15080,NULL
35,1,NULL,NULL
35,2,12080,NULL
35,5,NULL,NULL
35,6,10080,NULL
35,7,11080,NULL
35,9,NULL,NULL
35,10,NULL,NULL
36,11,10080,NULL
36,13,10080,NULL
38,4,10080,NULL
38,12,11080,NULL
39,3,10080,NULL
66,2,12080,NULL
66,6,10080,NULL
66,7,11080,NULL
66,8,15080,NULL
67,1,NULL,NULL
67,2,12080,NULL
67,5,NULL,NULL
67,6,10080,NULL
67,7,11080,NULL
67,9,NULL,NULL
67,10,NULL,NULL
68,11,10080,NULL
68,13,10080,NULL
70,3,10080,NULL
73,2,12080,NULL
73,6,10080,NULL
73,7,11080,NULL
73,8,15080,NULL
74,1,NULL,NULL
74,2,12080,NULL
74,5,NULL,NULL
74,6,10080,NULL
74,7,11080,NULL
74,9,NULL,NULL
74,10,NULL,NULL
75,11,10080,NULL
75,13,10080,NULL
78,4,10080,NULL
78,12,11080,NULL
79,3,10080,NULL
41,2,12080,NULL
41,6,10080,NULL
41,7,11080,NULL
41,8,15080,NULL
42,1,NULL,NULL
42,2,12080,NULL
42,5,NULL,NULL
42,6,10080,NULL
42,7,11080,NULL
42,9,NULL,NULL
42,10,NULL,NULL
43,11,10080,NULL
43,13,10080,NULL
45,4,10080,NULL
45,12,11080,NULL
46,3,10080,NULL
48,17,NULL,NULL
48,18,13080,ADEO
48,18,14080,SUPPLIER
81,2,12080,NULL
81,6,10080,NULL
81,7,11080,NULL
81,8,15080,NULL
82,2,12080,NULL
82,6,10080,NULL
82,7,11080,NULL
82,8,15080,NULL
83,1,NULL,NULL
83,2,12080,NULL
83,5,NULL,NULL
83,6,10080,NULL
83,7,11080,NULL
83,9,NULL,NULL
83,10,NULL,NULL
84,11,10080,NULL
84,13,10080,NULL
87,4,10080,NULL
87,12,11080,NULL
88,3,10080,NULL
49,2,12080,NULL
49,6,10080,NULL
49,7,11080,NULL
49,8,15080,NULL
50,1,NULL,NULL
50,2,12080,NULL
50,5,NULL,NULL
50,6,10080,NULL
50,7,11080,NULL
50,9,NULL,NULL
50,10,NULL,NULL
51,11,10080,NULL
51,13,10080,NULL
53,4,10080,NULL
53,12,11080,NULL
54,3,10080,NULL
